Category,QID,Element,Element Question,Low,Medium,High
Consequence,C01,Type1,Problem 1,Solution 1,Solution 2,Solution 3
Consequence,C02,Type2,Problem 2,Solution 1,Solution 2,Solution 3
Consequence,C03,Type3,Problem 3,Solution 1,Solution 2,Solution 3
Consequence,C04,Type4,Problem 4,Solution 1,Solution 2,Solution 3
Detection ,D01,Type5,Problem 5,Solution 1,Solution 2,Solution 3
Detection ,D02,Type6,Problem 6,Solution 1,Solution 2,Solution 3
Detection ,D03,Type7,Problem 7,Solution 1,Solution 2,Solution 3
Detection ,D04,Type8,Problem 8,Solution 1,Solution 2,Solution 3
Detection ,D05,Type9,Problem 9,Solution 1,Solution 2,Solution 3
Occurrence,O01,Type10,Problem 10,Solution 1,Solution 2,Solution 3
Occurrence,O02,Type11,Problem 11,Solution 1,Solution 2,Solution 3
Occurrence,O03,Type12,Problem 12,Solution 1,Solution 2,Solution 3
